fueltype,doornumber,carbody,carlength,carwidth,horsepower,price
gas,two,convertible,168.8,64.1,111,13495
gas,two,convertible,168.8,64.1,111,16500
gas,two,hatchback,171.2,65.5,154,16500
gas,four,sedan,176.6,66.2,102,13950
gas,four,sedan,176.6,66.4,115,17450
gas,two,sedan,177.3,66.3,110,15250
gas,four,sedan,192.7,71.4,110,17710
gas,four,wagon,192.7,71.4,110,18920
gas,four,sedan,192.7,71.4,140,23875
gas,two,hatchback,178.2,67.9,160,17859.167
gas,two,sedan,176.8,64.8,101,16430
gas,four,sedan,176.8,64.8,101,16925
gas,two,sedan,176.8,64.8,121,20970
gas,four,sedan,176.8,64.8,121,21105
gas,four,sedan,189,66.9,121,24565
gas,four,sedan,189,66.9,182,30760
gas,two,sedan,193.8,67.9,182,41315
gas,four,sedan,197,70.9,182,36880
gas,two,hatchback,141.1,60.3,48,5151
gas,two,hatchback,155.9,63.6,70,6295
gas,four,sedan,158.8,63.6,70,6575
gas,two,hatchback,157.3,63.8,68,5572
gas,two,hatchback,157.3,63.8,68,6377
gas,two,hatchback,157.3,63.8,102,7957
gas,four,hatchback,157.3,63.8,68,6229
gas,four,sedan,157.3,63.8,68,6692
gas,four,sedan,157.3,63.8,68,7609
gas,two,sedan,157.3,63.8,102,8558
gas,four,wagon,174.6,64.6,88,8921
gas,two,hatchback,173.2,66.3,145,12964
gas,two,hatchback,144.6,63.9,58,6479
gas,two,hatchback,144.6,63.9,76,6855
gas,two,hatchback,150,64,60,5399
gas,two,hatchback,150,64,76,6529
gas,two,hatchback,150,64,76,7129
gas,four,sedan,163.4,64,76,7295
gas,four,wagon,157.1,63.9,76,7295
gas,two,hatchback,167.5,65.2,86,7895
gas,two,hatchback,167.5,65.2,86,9095
gas,four,sedan,175.4,65.2,86,8845
gas,four,sedan,175.4,62.5,86,10295
gas,four,sedan,175.4,65.2,101,12945
gas,two,sedan,169.1,66,100,10345
gas,four,sedan,170.7,61.8,78,6785
gas,two,sedan,155.9,63.6,70,8916.5
gas,four,sedan,155.9,63.6,70,8916.5
gas,two,hatchback,172.6,65.2,90,11048
gas,four,sedan,199.6,69.6,176,32250
gas,four,sedan,199.6,69.6,176,35550
gas,two,sedan,191.7,70.6,262,36000
gas,two,hatchback,159.1,64.2,68,5195
gas,two,hatchback,159.1,64.2,68,6095
gas,two,hatchback,159.1,64.2,68,6795
gas,four,sedan,166.8,64.2,68,6695
gas,four,sedan,166.8,64.2,68,7395
gas,two,hatchback,169,65.7,101,10945
gas,two,hatchback,169,65.7,101,11845
gas,two,hatchback,169,65.7,101,13645
gas,two,hatchback,169,65.7,135,15645
gas,two,hatchback,177.8,66.5,84,8845
gas,four,sedan,177.8,66.5,84,8495
gas,two,hatchback,177.8,66.5,84,10595
gas,four,sedan,177.8,66.5,84,10245
diesel,four,sedan,177.8,66.5,64,10795
gas,four,hatchback,177.8,66.5,84,11245
gas,four,sedan,175,66.1,120,18280
diesel,four,sedan,175,66.1,72,18344
diesel,four,sedan,190.9,70.3,123,25552
diesel,four,wagon,190.9,70.3,123,28248
diesel,two,hardtop,187.5,70.3,123,28176
diesel,four,sedan,202.6,71.7,123,31600
gas,four,sedan,202.6,71.7,155,34184
gas,two,convertible,180.3,70.5,155,35056
gas,four,sedan,208.1,71.7,184,40960
gas,two,hardtop,199.2,72,184,45400
gas,two,hatchback,178.4,68,175,16503
gas,two,hatchback,157.3,64.4,68,5389
gas,two,hatchback,157.3,64.4,68,6189
gas,two,hatchback,157.3,64.4,68,6669
gas,two,hatchback,157.3,63.8,102,7689
gas,two,hatchback,173,65.4,116,9959
gas,two,hatchback,173,65.4,88,8499
gas,two,hatchback,173.2,66.3,145,12629
gas,two,hatchback,173.2,66.3,145,14869
gas,two,hatchback,173.2,66.3,145,14489
gas,four,sedan,172.4,65.4,88,6989
gas,four,sedan,172.4,65.4,88,8189
gas,four,sedan,172.4,65.4,116,9279
gas,four,sedan,172.4,65.4,116,9279
gas,two,sedan,165.3,63.8,69,5499
diesel,two,sedan,165.3,63.8,55,7099
gas,two,sedan,165.3,63.8,69,6649
gas,four,sedan,165.3,63.8,69,6849
gas,four,wagon,170.2,63.8,69,7349
gas,two,sedan,165.3,63.8,69,7299
gas,two,hatchback,165.6,63.8,69,7799
gas,four,sedan,165.3,63.8,69,7499
gas,four,wagon,170.2,63.8,69,7999
gas,two,hardtop,162.4,63.8,69,8249
gas,four,hatchback,173.4,65.2,97,8949
gas,four,sedan,173.4,65.2,97,9549
gas,four,sedan,181.7,66.5,152,13499
gas,four,wagon,184.6,66.5,152,14399
gas,four,sedan,184.6,66.5,152,13499
gas,two,hatchback,170.7,67.9,160,17199
gas,two,hatchback,170.7,67.9,200,19699
gas,two,hatchback,178.5,67.9,160,18399
gas,four,sedan,186.7,68.4,97,11900
diesel,four,sedan,186.7,68.4,95,13200
gas,four,wagon,198.9,68.4,97,12440
diesel,four,wagon,198.9,68.4,95,13860
gas,four,sedan,186.7,68.4,95,15580
diesel,four,sedan,186.7,68.4,95,16900
gas,four,wagon,198.9,68.4,95,16695
diesel,four,wagon,198.9,68.4,95,17075
gas,four,sedan,186.7,68.4,97,16630
diesel,four,sedan,186.7,68.4,95,17950
gas,four,sedan,186.7,68.3,142,18150
gas,two,hatchback,157.3,63.8,68,5572
gas,two,hatchback,157.3,63.8,102,7957
gas,four,hatchback,157.3,63.8,68,6229
gas,four,sedan,167.3,63.8,68,6692
gas,four,sedan,167.3,63.8,68,7609
gas,four,wagon,174.6,64.6,88,8921
gas,two,hatchback,173.2,66.3,145,12764
gas,two,hatchback,168.9,68.3,143,22018
gas,two,hardtop,168.9,65,207,32528
gas,two,hardtop,168.9,65,207,34028
gas,two,convertible,168.9,65,207,37028
gas,two,hatchback,175.7,72.3,288,31400.5
gas,four,wagon,181.5,66.5,90,9295
gas,two,hatchback,176.8,66.6,90,9895
gas,two,hatchback,186.6,66.5,110,11850
gas,four,sedan,186.6,66.5,110,12170
gas,two,hatchback,186.6,66.5,110,15040
gas,four,sedan,186.6,66.5,110,15510
gas,two,hatchback,186.6,66.5,160,18150
gas,four,sedan,186.6,66.5,160,18620
gas,two,hatchback,156.9,63.4,69,5118
gas,two,hatchback,157.9,63.6,73,7053
gas,two,hatchback,157.3,63.8,73,7603
gas,four,sedan,172,65.4,82,7126
gas,four,sedan,172,65.4,82,7775
gas,four,sedan,172,65.4,94,9960
gas,four,sedan,172,65.4,82,9233
gas,four,sedan,172,65.4,111,11259
gas,four,wagon,173.5,65.4,82,7463
gas,four,wagon,173.5,65.4,94,10198
gas,four,wagon,173.6,65.4,82,8013
gas,four,wagon,173.6,65.4,111,11694
gas,two,hatchback,158.7,63.6,62,5348
gas,two,hatchback,158.7,63.6,62,6338
gas,four,hatchback,158.7,63.6,62,6488
